store_id,store_name,store_name_english,score,review_cnt,url,url_english,address,prefecture,address_english,prefecture_english,website
00000001,森彦,Morihiko,3.64,673,https://tabelog.com/hokkaido/A0101/A010105/1000080/,https://tabelog.com/en/hokkaido/A0101/A010105/1000080/,北海道札幌市中央区南二条西26-2-18,北海道,Minami 2 Jonishi Chuo Ward Sapporo Hokkaido,Hokkaido,https://www.morihico.com/
00000002,クリントン・ストリート・ベイキング・カンパニー 南青山店,CLINTON ST. BAKING COMPANY & RESTAURANT,3.75,1680,https://tabelog.com/tokyo/A1306/A130602/13159456/,https://tabelog.com/en/tokyo/A1306/A130602/13159456/,"東京都港区南青山5-17-1 YHT南青山ビル 1,2F",東京都,5-chome-17-1 Minamiaoyama Minato City Tokyo-to,Tokyo,http://clintonstreetbaking.co.jp/
00000003,スターバックス リザーブ ロースタリー トウキョウ,STARBUCKS RESERVE ROASTERY TOKYO,3.70,1360,https://tabelog.com/tokyo/A1317/A131701/13231942/,https://tabelog.com/en/tokyo/A1317/A131701/13231942/,東京都目黒区青葉台2-19-23,東京都,2 Chome-19 Aobadai Meguro City Tokyo,Tokyo,https://www.starbucks.co.jp/roastery/
00000004,かしや,Kashiya,3.70,272,https://tabelog.com/kyoto/A2601/A260301/26024343/,https://tabelog.com/en/kyoto/A2601/A260301/26024343/,京都府京都市左京区吉永町270-3,京都府,270-3 Yoshinagacho Sakyo-ku Kyoto,Kyoto,
00000005,エスリビングハナレ,eS LIVING hanare,3.64,201,https://tabelog.com/hyogo/A2807/A280703/28014945/,https://tabelog.com/en/hyogo/A2807/A280703/28014945/,兵庫県三田市ゆりのき台5-31-5 SANDA WOODY TOWN内　musee,兵庫県,5-chome-31-5 Yurinokidai Sanda Hyogo,Hyogo,http://www.es-koyama.com/hanare/index.html
00000006,茶茶の間,Chachanoma,3.68,254,https://tabelog.com/tokyo/A1306/A130601/13043546/,https://tabelog.com/en/tokyo/A1306/A130601/13043546/,東京都渋谷区神宮前5-13-14 表参道SKビル1F,東京都,5-chome-13-14 Jingumae Shibuya City Tokyo-to,Tokyo,http://www.chachanoma.com
00000007,カフェ・ミケランジェロ,caffe Michelangelo,3.66,797,https://tabelog.com/tokyo/A1303/A130303/13003369/,https://tabelog.com/en/tokyo/A1303/A130303/13003369/,東京都渋谷区猿楽町29-3,東京都,29-3 Sarugakucho Shibuya City Tokyo-to,Tokyo,https://www.hiramatsurestaurant.jp/michelangelo/
00000008,Paul Bassett 新宿,Porubasetto,3.71,1296,https://tabelog.com/tokyo/A1304/A130401/13026041/,https://tabelog.com/en/tokyo/A1304/A130401/13026041/,東京都新宿区西新宿1-26-2 新宿野村ビル B1F,東京都,1-chome-14-1 Nishishinjuku Shinjuku City 都 Tokyo-to,Tokyo,https://www.paulbassett.jp/store/shinjuku/
00000009,FUGLEN TOKYO,fugurentoukyou,3.69,792,https://tabelog.com/tokyo/A1318/A131810/13141002/,https://tabelog.com/en/tokyo/A1318/A131810/13141002/,東京都渋谷区富ケ谷1-16-11 1F,東京都,Tomigaya Shibuya City Tokyo,Tokyo,http://www.fuglen.com/
00000010,文明堂カフェ,Bummeidoukafe,3.69,723,https://tabelog.com/tokyo/A1302/A130202/13152670/,https://tabelog.com/en/tokyo/A1302/A130202/13152670/,東京都中央区日本橋室町1-13-7 PMOビル 1F,東京都,1-chome-13-7 Nihonbashimuromachi Chuo City Tokyo-to,Tokyo,https://g.co/kgs/SqzHGh
00000011,ニコラ,Nicolas,3.69,327,https://tabelog.com/tokyo/A1317/A131706/13127430/,https://tabelog.com/en/tokyo/A1317/A131706/13127430/,東京都世田谷区太子堂4-28-10 鈴木ビル 2F,東京都,Taishido Setagaya City Tokyo,Tokyo,http://www.nicolasnicolas.com/
00000012,ストリーマー コーヒーカンパニー SHIBUYA,STREAMER COFFEE COMPANY,3.69,734,https://tabelog.com/tokyo/A1303/A130301/13109635/,https://tabelog.com/en/tokyo/A1303/A130301/13109635/,東京都渋谷区渋谷1-20-28 1F,東京都,1-chome-20-28 Shibuya Shibuya City Tokyo-to,Tokyo,http://streamer.coffee/
